id,name,author,date,entry_id,lang
15vjkC2IT9lbpJfetk9RHMbUXZIRksELR,MarxEngels_1848-11-29_ME109_de.txt,MarxEngels,1848-11-29,ME109,de
1YxtjIcajDw24cO1SY0H0CMp0KHm43Cpo,MarxEngels_1848-12-11_ME099_de.txt,MarxEngels,1848-12-11,ME099,de
1jAqN-HdEDe_w2_AtPUdovVEYAvQnVfFg,MarxEngels_1848-12-26_ME127_de.txt,MarxEngels,1848-12-26,ME127,de
1a_pxeBmVibPK4ZMSYDydP2upapQymcK4,MarxEngels_1848-12-30_ME100_de.txt,MarxEngels,1848-12-30,ME100,de
1XbEMx8BbpMrQXV7RSFodaNJlSzxuP9zy,MarxEngels_1849-01-06_ME026_de.txt,MarxEngels,1849-01-06,ME026,de
1xHnHggKgdhesfNJlN56BqRMA54MAa_Dn,MarxEngels_1849-01-28_ME154_de.txt,MarxEngels,1849-01-28,ME154,de
1bWXQms99jNuy06ZZDwzB6sqsmj8q7Uu7,MarxEngels_1849-01-30_ME155_de.txt,MarxEngels,1849-01-30,ME155,de
1ABe5eyfZK5iXIM29QA_-g_f9Kts8deRT,MarxEngels_1849-02-09_ME114_de.txt,MarxEngels,1849-02-09,ME114,de
1ucNzO_mrjIyhpw5kPSlEzCXeN782C8ko,MarxEngels_1849-02-16_ME167_de.txt,MarxEngels,1849-02-16,ME167,de
1zJYeAWsMOOFPR0zntB-Rc5Q7_PM4fmPI,MarxEngels_1849-02-21_ME116_de.txt,MarxEngels,1849-02-21,ME116,de
1HthXlphFWynGrqmtrwMgGMlVfhHDhe4P,MarxEngels_1849-02-22_ME049_de.txt,MarxEngels,1849-02-22,ME049,de
1luXyyIohM2t6Tq7ynBQ8O6JP2WKbPwXf,MarxEngels_1849-03-01_ME158_de.txt,MarxEngels,1849-03-01,ME158,de
1oV_1UqCxGfWoFWe8-AZvlMkE8EEX3GVy,MarxEngels_1849-03-06_ME161_de.txt,MarxEngels,1849-03-06,ME161,de
1RAcO-FhUpATzfVrQ--i1-Zcg2mGVkH9j,MarxEngels_1849-03-07_ME055_de.txt,MarxEngels,1849-03-07,ME055,de
1ac7VktW8C_eIL5EXt5DAhZASHe9glW0d,MarxEngels_1849-03-09_ME146_de.txt,MarxEngels,1849-03-09,ME146,de
1j2QLojR-cdup-HrTI4wwJiHXZIj_iS4x,MarxEngels_1849-03-12_ME071_de.txt,MarxEngels,1849-03-12,ME071,de
1hFVMeqt36pcQUdB4VU9uqB1Ip-XuA44v,MarxEngels_1849-03-12_ME190_de.txt,MarxEngels,1849-03-12,ME190,de
1nj0AqFqEJPHK4XS6GFJqY6Amk4akkFGz,MarxEngels_1849-03-14_ME027_de.txt,MarxEngels,1849-03-14,ME027,de
10WDq3zx_6jkamKRPy9p1rDmFsi2ogTt7,MarxEngels_1849-03-15_ME095_de.txt,MarxEngels,1849-03-15,ME095,de
1lq9OVYcu98egSCS2jzLjkpnRBlWb1Iwl,MarxEngels_1849-04-03_ME062_de.txt,MarxEngels,1849-04-03,ME062,de
14JD9dDgvcxJEX0iEmfyr5MuyyYXIVedH,MarxEngels_1849-05-18_ME172_de.txt,MarxEngels,1849-05-18,ME172,de
168lcwDiyCnjRgH-qPPmWcf9D7sDgsHHH,MarxEngels_1849-05-18_ME186_de.txt,MarxEngels,1849-05-18,ME186,de
1GMgutNHCqJk5YCiybEMV5rIjNbOj2j7F,MarxEngels_1849-12-15_ME011_de.txt,MarxEngels,1849-12-15,ME011,de
1XafmoX8v_QMX9fuDA1IzQxu3qO5bymEH,MarxEngels_1850-01-31_ME134_de.txt,MarxEngels,1850-01-31,ME134,de
1sqGlJl2rD2a16RTmqwsfn7AnRS7s0scm,MarxEngels_1850-02-15_ME138_de.txt,MarxEngels,1850-02-15,ME138,de
1fHfZX0APv-3ZpMnPHjUflXVMhJloqOip,MarxEngels_1850-02-15_ME142_de.txt,MarxEngels,1850-02-15,ME142,de
1KZvOTNpmvBkh3unXKMFcGAZ8JaAOa2bB,MarxEngels_1850-03-24_ME002_de.txt,MarxEngels,1850-03-24,ME002,de
1Do2ofbaIgjPCQ7NRH-f9zjT-MlHlae4A,MarxEngels_1850-04-05_ME135_de.txt,MarxEngels,1850-04-05,ME135,de
1ypHe5C3NAWMmx44HEWv4ik7ui4c_GgBP,MarxEngels_1850-04-08_ME1155_de.txt,MarxEngels,1850-04-08,ME1155,de
1YaMC_c8h0PwPWG_H2joka22owxsIi7Ak,MarxEngels_1850-04-08_ME157_de.txt,MarxEngels,1850-04-08,ME157,de
1Rh-ceIOJ__HbOPS5UxL7EfRFAowO88sf,MarxEngels_1850-04-15_ME069_de.txt,MarxEngels,1850-04-15,ME069,de
1SwVKGlscgkvm1xyO102QrXiDGZMsWUUd,MarxEngels_1850-04-15_ME080_de.txt,MarxEngels,1850-04-15,ME080,de
1cEmW7IQqoF8BW9XlSQ0tLmUWkgZcLDjE,MarxEngels_1850-04-18_ME139_de.txt,MarxEngels,1850-04-18,ME139,de
1XkQbItYT14CR8sJiArEST-D32IhtlvwL,MarxEngels_1850-04-18_ME141_de.txt,MarxEngels,1850-04-18,ME141,de
152KjmMQZNtxZldJu7YNHjJR5g0-QDa81,MarxEngels_1850-04-20_ME164_de.txt,MarxEngels,1850-04-20,ME164,de
1_VlMiQzq5k7SfxExs9nQcmiTxSCsAijZ,MarxEngels_1850-04-22_ME140_de.txt,MarxEngels,1850-04-22,ME140,de
1OdyFHNv95ANBvOXovk_yy2io6ApvB4JL,MarxEngels_1850-05-07_ME179_de.txt,MarxEngels,1850-05-07,ME179,de
1ZK5nnS5RXfp4_Fm5H0abjMNG-wEvJn5t,MarxEngels_1850-05-30_ME089_de.txt,MarxEngels,1850-05-30,ME089,de
1wvbYqiurSnVmw8kWMq6oHaM5xCpkdWXE,MarxEngels_1850-06-07_ME003_de.txt,MarxEngels,1850-06-07,ME003,de
1MNRflyplosWGR8gWaYboKmCFprSArly9,MarxEngels_1850-06-14_ME068_de.txt,MarxEngels,1850-06-14,ME068,de
1gRM2dCGItw_2mPgR0K8IWVysWg5Ujg1U,MarxEngels_1850-06-14_ME122_de.txt,MarxEngels,1850-06-14,ME122,de
1brj7blHL2W3oGFhRAdoip3rdUNPE73r_,MarxEngels_1850-06-14_ME123_de.txt,MarxEngels,1850-06-14,ME123,de
1Oy-8-msXPD0W5MIQWns3N2pR6DaA6okF,MarxEngels_1850-06-14_ME178_de.txt,MarxEngels,1850-06-14,ME178,de
1jkJ31iu1MO0_zAptd2KgUZWgwRiK41mv,MarxEngels_1850-06-25_ME165_de.txt,MarxEngels,1850-06-25,ME165,de
1vFnUUVtSSjehf4FBvmpJ-gfj02xc7Hxl,MarxEngels_1850-07-02_ME183_de.txt,MarxEngels,1850-07-02,ME183,de
1O8LyOT8fS86swX8snxdueMUh_6Lm7MOr,MarxEngels_1850-09-17_ME163_de.txt,MarxEngels,1850-09-17,ME163,de
1vizryMxG4OQdNc-LKYxSteKfW24vlfZS,MarxEngels_1850-10-09_ME171_de.txt,MarxEngels,1850-10-09,ME171,de
18lX-EgyysZ7_4uIVcE-bSznwkW8Hj45Q,MarxEngels_1850-10-15_ME053_de.txt,MarxEngels,1850-10-15,ME053,de
1KnOrl2oY7BCJ0j6ykcBf7vkpQTod4KkZ,MarxEngels_1850-11-01_ME136_de.txt,MarxEngels,1850-11-01,ME136,de
1GHWOcJcAo0aTow49rhCaXnJfIX2iOXjt,MarxEngels_1850-12-28_ME052_de.txt,MarxEngels,1850-12-28,ME052,de
1tHoXZLJPVL5o2-PF-xP4A5EZPiS5CnOa,MarxEngels_1851-01-27_ME162_de.txt,MarxEngels,1851-01-27,ME162,de
